url,expected_category,predicted_category,category_confidence,expected_sentiment,predicted_sentiment,sentiment_confidence,keywords,entities,notes
https://www.cnnindonesia.com/nasional/20240801123456-12-1111111/prabowo-dan-jokowi-bertemu-di-istana-bahas-transisi-pemerintahan,Politik,BENCANA_LINGKUNGAN,0.5874,Neutral,Negative,0.4334,"Selandia Baru, Baru pada Senin, Virgin Australia Terpaksa, Australia Terpaksa Mendarat, Terpaksa Mendarat Darurat, maskapai Virgin Australia, Virgin Australia, Officer Virgin Australia, Australia Terpaksa, Terpaksa Mendarat",Virgin Australia (ORGANIZATION) | Selandia Baru (LOCATION) | Queenstown (LOCATION) | Melbourne (LOCATION) | Queens (LOCATION) | town (LOCATION) | Operating Officer Virgin Australia (ORGANIZATION) | Stuart Aggs (PERSON) | Guardian (ORGANIZATION) | as (LOCATION),"Cat: MISMATCH, Sent: MISMATCH"
https://nasional.kompas.com/read/2024/05/20/09000011/dpr-sahkan-revisi-uu-kementerian-negara-jadi-usul-inisiatif,Politik,ERROR 502,0.0,Neutral,ERROR,0.0,,,Failed extraction
https://www.cnbcindonesia.com/market/20240722080000-17-555555/ihsg-ditutup-hijau-saham-bank-kakap-jadi-motor-penggerak,Ekonomi,TEKNOLOGI_DIGITAL,0.5492,Positive,Positive,0.4453,"Baru Incar Pemilik, Khas Smishing Jakarta, Ciri Khas Smishing, Penipuan Baru Incar, Incar Pemilik iPhone, Baru Incar, Incar Pemilik, Ciri Khas, jebakan menghantui seluruh, SMS jebakan menghantui","Smishing
Jakarta (ORGANIZATION) | CNBC Indonesia (ORGANIZATION) | Broadcom (ORGANIZATION) | Amerika Serikat (LOCATION)","Cat: MISMATCH, Sent: MATCH"
https://ekonomi.bisnis.com/read/20240810/9/1789012/pertumbuhan-ekonomi-kuartal-ii-2024-capai-505-persen-bps-ungkap-pendorongnya,Ekonomi,ERROR 422,0.0,Positive,ERROR,0.0,,,Failed extraction
https://finance.detik.com/berita-ekonomi-bisnis/d-7489012/rupiah-melemah-ke-rp-16-200-us-ini-kata-gubernur-bi,Ekonomi,POLITIK_PEMERINTAHAN,0.9161,Negative,Neutral,0.4554,"Seremoni Sumbu Kebangsaan, Plaza Seremoni Sumbu, Plaza Seremoni, Sumbu Kebangsaan, Plaza Seremoni IKN, Seremoni Sumbu, Ibu Kota Nusantara, Penampakan Plaza Seremoni, Presiden Joko Widodo, meresmikan Plaza Seremoni",Joko Widodo (PERSON) | Jokowi (PERSON) | Plaza Seremoni (LOCATION) | Kebangsaan (LOCATION) | Ibu (LOCATION) | Kota Nusantara (LOCATION) | IK (LOCATION) | Kalimantan Timur (LOCATION) | Sumbu Kebangsaan (LOCATION) | Kawasan Inti Pusat Pemerintahan (LOCATION) | KIP (LOCATION) | IK (ORGANIZATION) | ruang (LOCATION) | Sumbu (ORGANIZATION) | Jokowi (ORGANIZATION) | Plaza (LOCATION) | koc (LOCATION) | Rp (LOCATION) | Presiden (ORGANIZATION) | Joko (PERSON) | PUP (LOCATION) | BP (LOCATION) | Kalimantan (LOCATION) | Ditjen (ORGANIZATION) | Cipta (LOCATION) | PUP (ORGANIZATION) | pelaksana (ORGANIZATION) | PT (ORGANIZATION) | Abi (ORGANIZATION) | Vir (ORGANIZATION) | Persero (ORGANIZATION) | KS (ORGANIZATION) | Laras (LOCATION) | Istana (ORGANIZATION) | Taman (LOCATION) | Kusuma (LOCATION) | kantor (LOCATION) | Koordinator (ORGANIZATION) | Kemen (ORGANIZATION) | center (LOCATION) | retail (LOCATION) | area (LOCATION) | street (LOCATION) | central (LOCATION) | walk (LOCATION) | pela (LOCATION),"Cat: MISMATCH, Sent: MISMATCH"
https://www.antaranews.com/berita/4123456/menteri-keuangan-sebut-inflasi-terjaga-di-kisaran-25-persen,Ekonomi,ERROR 502,0.0,Positive,ERROR,0.0,,,Failed extraction
https://news.detik.com/berita/d-7300000/kpk-tetapkan-bupati-x-sebagai-tersangka-kasus-suap-proyek-jalan,Hukum,ERROR 502,0.0,Negative,ERROR,0.0,,,Failed extraction
https://nasional.tempo.co/read/1890000/polisi-tangkap-sindikat-narkoba-jaringan-internasional-sita-100-kg-sabu,Hukum,ERROR 422,0.0,Negative,ERROR,0.0,,,Failed extraction
https://www.cnnindonesia.com/nasional/20240615100000-12-1110000/hakim-vonis-bebas-terdakwa-kasus-korupsi-timah-jaksa-ajukan-kasasi,Hukum,POLITIK_PEMERINTAHAN,0.3797,Neutral,Positive,0.4969,"CNN Indonesia Sabtu, Museum Australia REUTERS, Clan Akan Diputar, 15:12 WIB Jakarta, Langka Wu-Tang Clan, Australia pada Jumat, Wu-Tang Clan Akan, CNN Indonesia, unik Wu-Tang Clan, Indonesia Sabtu","Museum Australia
                       REUTERS |  CNN Indonesia (ORGANIZATION) | Jakarta (LOCATION) | CNN Indonesia (ORGANIZATION) | Museum of Old and New Art (ORGANIZATION) | Tasmania (LOCATION) | Australia (LOCATION) | ing (ORGANIZATION) | NFT (ORGANIZATION) | Pleas (PERSON) | rDAO (ORGANIZATION) | Martin (ORGANIZATION) | Sh (PERSON) | salinan (ORGANIZATION)","Cat: MISMATCH, Sent: MISMATCH"
https://inet.detik.com/consumer/d-7411111/apple-resmi-rilis-ios-18-ini-daftar-iphone-yang-kebagian,Teknologi,ERROR 502,0.0,Positive,ERROR,0.0,,,Failed extraction
https://tekno.kompas.com/read/2024/07/20/12000000/openai-rilis-gpt-4o-mini-model-ai-baru-yang-lebih-murah-dan-pintar,Teknologi,ERROR 502,0.0,Positive,ERROR,0.0,,,Failed extraction
https://www.cnbcindonesia.com/tech/20240801090000-37-567890/kominfo-blokir-ribuan-situs-judi-online-sepanjang-2024,Teknologi,ERROR 502,0.0,Negative,ERROR,0.0,,,Failed extraction
https://sport.detik.com/sepakbola/liga-inggris/d-7422222/manchester-city-juara-liga-inggris-4-kali-beruntun-ukir-sejarah,Olahraga,ERROR 502,0.0,Positive,ERROR,0.0,,,Failed extraction
https://www.cnnindonesia.com/olahraga/20240805150000-178-1234567/gregoria-mariska-raih-perunggu-olimpiade-paris-2024-cetak-sejarah,Olahraga,ERROR 502,0.0,Positive,ERROR,0.0,,,Failed extraction
https://www.antaranews.com/berita/4234567/timnas-indonesia-tumbang-dari-irak-0-2-di-kualifikasi-piala-dunia,Olahraga,ERROR 422,0.0,Negative,ERROR,0.0,,,Failed extraction
https://news.detik.com/berita/d-7433333/gempa-m-6-5-guncang-garut-terasa-kuat-hingga-bandung-dan-jakarta,Bencana,EKONOMI_BISNIS,0.9854,Negative,Positive,0.4714,"Harga emas hari, Logam Mulia Antam, Harga emas, Harga emas batangan, keluaran Logam Mulia, Logam Mulia, emas hari, Harga, emas, emas batangan",,"Cat: MISMATCH, Sent: MISMATCH"
https://www.cnnindonesia.com/nasional/20240511200000-20-1111111/banjir-bandang-terjang-sumatera-barat-belasan-orang-meninggal-dunia,Bencana,BENCANA_LINGKUNGAN,0.5874,Negative,Negative,0.4334,"Selandia Baru, Baru pada Senin, Virgin Australia Terpaksa, Australia Terpaksa Mendarat, Terpaksa Mendarat Darurat, maskapai Virgin Australia, Virgin Australia, Officer Virgin Australia, Australia Terpaksa, Terpaksa Mendarat",Virgin Australia (ORGANIZATION) | Selandia Baru (LOCATION) | Queenstown (LOCATION) | Melbourne (LOCATION) | Queens (LOCATION) | town (LOCATION) | Operating Officer Virgin Australia (ORGANIZATION) | Stuart Aggs (PERSON) | Guardian (ORGANIZATION) | as (LOCATION),"Cat: MISMATCH, Sent: MATCH"
https://regional.kompas.com/read/2024/06/10/14000000/kecelakaan-maut-bus-rombongan-siswa-smk-di-subang-11-tewas,Bencana,ERROR 502,0.0,Negative,ERROR,0.0,,,Failed extraction
https://hot.detik.com/music/d-7444444/konser-taylor-swift-di-singapura-sukses-besar-dihadiri-ribuan-fans,Hiburan,EKONOMI_BISNIS,0.9526,Positive,Positive,0.4687,"tinggi Federal Reserve, Federal Reserve mengisyaratkan, Pejabat tinggi Federal, Federal Reserve, Reserve mengisyaratkan bakal, tinggi Federal, Reserve mengisyaratkan, suku bunga, kerja Amerika Serikat, segera memangkas suku",Federal Reserve (ORGANIZATION) | Amerika Serikat (LOCATION) | AS (LOCATION) | The Fed (ORGANIZATION) | Presiden Fed Richmond (ORGANIZATION) | Thomas Barkin (PERSON) | Gubernur The Fed (ORGANIZATION) | Jerome Powell (PERSON) | Reut (ORGANIZATION) | Fed (ORGANIZATION) | Karim (PERSON) | The (ORGANIZATION),"Cat: MISMATCH, Sent: MATCH"
